provider	dotPath	method	tier	rationale
b2	objects.head	HEAD	cheap	Backblaze B2 S3-compatible request ops; per-request cost << $0.01
b2	objects.list	GET	cheap	Backblaze B2 S3-compatible request ops; per-request cost << $0.01
b2	objects.listLegacy	GET	cheap	Backblaze B2 S3-compatible request ops; per-request cost << $0.01
b2	objects.listMultipartUploads	GET	cheap	Backblaze B2 S3-compatible request ops; per-request cost << $0.01
b2	objects.listParts	GET	cheap	Backblaze B2 S3-compatible request ops; per-request cost << $0.01
b2	objects.listVersions	GET	cheap	Backblaze B2 S3-compatible request ops; per-request cost << $0.01
b2	objects.put	PUT	cheap	Backblaze B2 S3-compatible request ops; per-request cost << $0.01
b2	objects.putAcl	PUT	cheap	Backblaze B2 S3-compatible request ops; per-request cost << $0.01
b2	objects.putLegalHold	PUT	cheap	Backblaze B2 S3-compatible request ops; per-request cost << $0.01
b2	objects.putRetention	PUT	cheap	Backblaze B2 S3-compatible request ops; per-request cost << $0.01
b2	objects.uploadPart	PUT	cheap	Backblaze B2 S3-compatible request ops; per-request cost << $0.01
b2	objects.uploadPartCopy	PUT	cheap	Backblaze B2 S3-compatible request ops; per-request cost << $0.01
binance	api.v3.aggTrades	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	api.v3.avgPrice	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	api.v3.depth	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	api.v3.exchangeInfo	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	api.v3.executionRules	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	api.v3.historicalBlockTrades	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	api.v3.historicalTrades	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	api.v3.klines	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	api.v3.ping	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	api.v3.referencePrice	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	api.v3.referencePrice.calculation	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	api.v3.ticker	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	api.v3.ticker.bookTicker	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	api.v3.ticker.price	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	api.v3.ticker.tradingDay	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	api.v3.ticker.twentyFourHr	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	api.v3.time	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	api.v3.trades	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	api.v3.uiKlines	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	coinMFutures.data.basis	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	coinMFutures.data.deliveryPrice	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	coinMFutures.data.globalLongShortAccountRatio	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	coinMFutures.data.openInterestHist	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	coinMFutures.data.takerBuySellVol	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	coinMFutures.data.topLongShortAccountRatio	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	coinMFutures.data.topLongShortPositionRatio	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	dapi.v1.aggTrades	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	dapi.v1.constituents	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	dapi.v1.continuousKlines	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	dapi.v1.depth	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	dapi.v1.exchangeInfo	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	dapi.v1.fundingInfo	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	dapi.v1.fundingRate	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	dapi.v1.indexPriceKlines	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	dapi.v1.klines	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	dapi.v1.markPriceKlines	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	dapi.v1.openInterest	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	dapi.v1.ping	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	dapi.v1.premiumIndex	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	dapi.v1.premiumIndexKlines	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	dapi.v1.ticker.bookTicker	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	dapi.v1.ticker.price	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	dapi.v1.ticker.twentyFourHr	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	dapi.v1.time	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	dapi.v1.trades	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	eapi.v1.blockTrades	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	eapi.v1.depth	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	eapi.v1.exchangeInfo	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	eapi.v1.exerciseHistory	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	eapi.v1.index	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	eapi.v1.klines	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	eapi.v1.mark	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	eapi.v1.openInterest	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	eapi.v1.ping	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	eapi.v1.ticker	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	eapi.v1.time	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	eapi.v1.trades	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	fapi.v1.aggTrades	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	fapi.v1.assetIndex	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	fapi.v1.constituents	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	fapi.v1.continuousKlines	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	fapi.v1.depth	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	fapi.v1.exchangeInfo	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	fapi.v1.fundingInfo	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	fapi.v1.fundingRate	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	fapi.v1.indexInfo	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	fapi.v1.indexPriceKlines	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	fapi.v1.insuranceBalance	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	fapi.v1.klines	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	fapi.v1.markPriceKlines	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	fapi.v1.openInterest	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	fapi.v1.ping	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	fapi.v1.premiumIndex	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	fapi.v1.premiumIndexKlines	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	fapi.v1.rpiDepth	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	fapi.v1.symbolAdlRisk	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	fapi.v1.ticker.bookTicker	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	fapi.v1.ticker.twentyFourHr	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	fapi.v1.time	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	fapi.v1.trades	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	fapi.v1.tradingSchedule	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	fapi.v2.ticker.price	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	futures.data.basis	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	futures.data.deliveryPrice	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	futures.data.globalLongShortAccountRatio	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	futures.data.openInterestHist	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	futures.data.takerlongshortRatio	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	futures.data.topLongShortAccountRatio	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	futures.data.topLongShortPositionRatio	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	public.coinMFutures.dapi.v1.ping	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	public.options.eapi.v1.ping	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	public.spot.api.v3.ping	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	public.spotData.api.v3.ping	GET	cheap	Public spot market-data REST; no per-call USD compute cost
binance	public.usdMFutures.fapi.v1.ping	GET	cheap	Public spot market-data REST; no per-call USD compute cost
dolthub	api.v2.databases.branches.create	POST	cheap	DoltHub SQL/database API; no per-call USD compute cost
dolthub	api.v2.databases.branches.list	GET	cheap	DoltHub SQL/database API; no per-call USD compute cost
dolthub	api.v2.databases.create	POST	cheap	DoltHub SQL/database API; no per-call USD compute cost
dolthub	api.v2.databases.forks.create	POST	cheap	DoltHub SQL/database API; no per-call USD compute cost
dolthub	api.v2.databases.pulls.create	POST	cheap	DoltHub SQL/database API; no per-call USD compute cost
dolthub	api.v2.databases.pulls.get	GET	cheap	DoltHub SQL/database API; no per-call USD compute cost
dolthub	api.v2.databases.pulls.list	GET	cheap	DoltHub SQL/database API; no per-call USD compute cost
dolthub	api.v2.databases.pulls.merge	POST	cheap	DoltHub SQL/database API; no per-call USD compute cost
dolthub	api.v2.databases.sql.read	GET	cheap	DoltHub SQL/database API; no per-call USD compute cost
dolthub	api.v2.databases.sql.write	POST	cheap	DoltHub SQL/database API; no per-call USD compute cost
dolthub	api.v2.operations.get	GET	cheap	DoltHub SQL/database API; no per-call USD compute cost
dolthub	api.v2.user.get	GET	cheap	DoltHub SQL/database API; no per-call USD compute cost
dolthub	v1alpha1.branches.create	POST	cheap	DoltHub SQL/database API; no per-call USD compute cost
dolthub	v1alpha1.branches.list	GET	cheap	DoltHub SQL/database API; no per-call USD compute cost
dolthub	v1alpha1.database.create	POST	cheap	DoltHub SQL/database API; no per-call USD compute cost
dolthub	v1alpha1.pulls	GET	cheap	DoltHub SQL/database API; no per-call USD compute cost
dolthub	v1alpha1.pulls.create	POST	cheap	DoltHub SQL/database API; no per-call USD compute cost
dolthub	v1alpha1.pulls.list	GET	cheap	DoltHub SQL/database API; no per-call USD compute cost
dolthub	v1alpha1.pulls.merge	POST	cheap	DoltHub SQL/database API; no per-call USD compute cost
dolthub	v1alpha1.sql.read	GET	cheap	DoltHub SQL/database API; no per-call USD compute cost
dolthub	v1alpha1.sql.write	POST	cheap	DoltHub SQL/database API; no per-call USD compute cost
dolthub	v1alpha1.sql.writePoll	GET	cheap	DoltHub SQL/database API; no per-call USD compute cost
dolthub	v1alpha1.user	GET	cheap	DoltHub SQL/database API; no per-call USD compute cost
dropbox	check.user	POST	cheap	Dropbox file/metadata operations; no per-call USD compute cost
dropbox	files.copyV2	POST	cheap	Dropbox file/metadata operations; no per-call USD compute cost
dropbox	files.createFolderV2	POST	cheap	Dropbox file/metadata operations; no per-call USD compute cost
dropbox	files.deleteV2	POST	cheap	Dropbox file/metadata operations; no per-call USD compute cost
dropbox	files.download	POST	cheap	Dropbox file/metadata operations; no per-call USD compute cost
dropbox	files.getMetadata	POST	cheap	Dropbox file/metadata operations; no per-call USD compute cost
dropbox	files.listFolder	POST	cheap	Dropbox file/metadata operations; no per-call USD compute cost
dropbox	files.listFolderContinue	POST	cheap	Dropbox file/metadata operations; no per-call USD compute cost
dropbox	files.moveV2	POST	cheap	Dropbox file/metadata operations; no per-call USD compute cost
dropbox	files.upload	POST	cheap	Dropbox file/metadata operations; no per-call USD compute cost
dropbox	sharing.createSharedLinkWithSettings	POST	cheap	Dropbox file/metadata operations; no per-call USD compute cost
dropbox	sharing.listSharedLinks	POST	cheap	Dropbox file/metadata operations; no per-call USD compute cost
dropbox	users.getCurrentAccount	POST	cheap	Dropbox file/metadata operations; no per-call USD compute cost
elevenlabs	docs	GET	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.audioIsolation	POST	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.audioIsolation.history.delete	DELETE	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.audioIsolation.history.list	GET	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.audioIsolation.stream	POST	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.audioNative	POST	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.audioNative.content.fromUrl	POST	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.audioNative.content.update	POST	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.audioNative.settings	GET	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.agent.knowledgeBase.size	GET	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.agent.llmUsage.calculate	POST	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.agentTesting.bulkMove	POST	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.agentTesting.create	POST	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.agentTesting.delete	DELETE	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.agentTesting.folders.create	POST	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.agentTesting.folders.delete	DELETE	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.agentTesting.folders.get	GET	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.agentTesting.folders.update	PATCH	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.agentTesting.get	GET	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.agentTesting.list	GET	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.agentTesting.summaries	POST	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.agentTesting.update	PUT	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.agents.avatar	POST	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.agents.branches	GET	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.agents.branches.create	POST	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.agents.branches.get	GET	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.agents.branches.merge	POST	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.agents.branches.mergePreview	GET	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.agents.branches.rebase	POST	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.agents.branches.rebasePreview	GET	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.agents.branches.update	PATCH	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.agents.create	POST	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.agents.delete	DELETE	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.agents.deployments	POST	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.agents.drafts.create	POST	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.agents.drafts.delete	DELETE	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.agents.duplicate	POST	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.agents.get	GET	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.agents.link	GET	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.agents.list	GET	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.agents.runTests	POST	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.agents.simulateConversation	POST	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.agents.simulateConversation.stream	POST	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.agents.summaries	GET	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.agents.topics	GET	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.agents.update	PATCH	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.agents.versions.get	GET	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.agents.widget	GET	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.analytics.liveCount	GET	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.batchCalling.cancel	POST	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.batchCalling.delete	DELETE	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.batchCalling.get	GET	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.batchCalling.retry	POST	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.batchCalling.submit	POST	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.batchCalling.workspace	GET	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.conversation.getSignedUrl	GET	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.conversation.token	GET	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.conversations.analysis	POST	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.conversations.analysis.evaluations	POST	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.conversations.audio	GET	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.conversations.delete	DELETE	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.conversations.feedback	POST	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.conversations.files	POST	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.conversations.files.delete	DELETE	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.conversations.get	GET	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.conversations.list	GET	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.conversations.messages.smartSearch	GET	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.conversations.messages.textSearch	GET	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.conversations.sipMessages	GET	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.conversations.tags	POST	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.conversations.tags.unassign	DELETE	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.environmentVariables.create	POST	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.environmentVariables.get	GET	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.environmentVariables.list	GET	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.environmentVariables.update	PATCH	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.exotel.outboundCall	POST	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.knowledgeBase.bulkMove	POST	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.knowledgeBase.chunks	GET	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.knowledgeBase.chunks.get	GET	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.knowledgeBase.content	GET	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.knowledgeBase.delete	DELETE	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.knowledgeBase.dependentAgents	GET	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.knowledgeBase.file	POST	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.knowledgeBase.folder	POST	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.knowledgeBase.get	GET	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.knowledgeBase.list	GET	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.knowledgeBase.move	POST	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.knowledgeBase.ragIndex	GET	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.knowledgeBase.ragIndex.batch	POST	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
elevenlabs	v1.convai.knowledgeBase.ragIndex.compute	POST	expensive	Metered text-to-speech / audio provider; per-character billing bills real money
